Date,Open,High,Low,Close,Volume,Change
2021-09-13,57494,59557,57494,58571,1587549,0.0
2021-09-14,59197,59556,53546,54804,2281425,-0.09750514615067929
2021-09-15,55162,57852,55162,56508,1512896,-0.021760581667099488
2021-09-16,58302,60454,56597,60097,2835093,0.018248051507963492
2021-09-17,60274,60363,57492,59020,1776463,0.013862882861216619
2021-09-23,57852,58928,55520,56239,1589525,-0.03981492547506449
2021-09-24,56328,56687,52112,54087,2289729,-0.013082986643310757
2021-09-27,52381,54623,50139,53818,1729931,-0.04760387909676511
2021-09-28,53726,54264,51305,51575,1229130,-0.1418040833985057
2021-09-29,49869,54085,49600,52562,1379502,-0.1094205354117248
2021-09-30,52651,52920,50499,50679,942073,-0.09886377780543754
2021-10-01,50138,51663,49242,49781,991041,-0.07961247619575873
2021-10-05,49509,51393,46551,47090,1661039,-0.12501393585789145
2021-10-06,47176,47715,43948,44802,2418567,-0.13132331555986432
2021-10-07,45026,46461,44129,45296,1355758,-0.13823674898215443
2021-10-08,45834,47628,45116,46642,1076590,-0.07965824108605146
2021-10-12,46192,46462,42605,43413,1412692,-0.12792029087402823
2021-10-13,42155,44085,40990,41081,1739623,-0.12760671055425776
2021-10-14,42336,45924,42156,45207,1611228,0.00903977501004416
2021-10-15,46550,46640,43993,44623,1005583,-0.014857824090427463
2021-10-18,44622,45923,43591,44086,656488,-0.054800394494232685
2021-10-19,44666,46641,44354,45655,1026949,0.05164351691889535
2021-10-20,45564,45653,42021,43054,1247765,0.04802706847447724
2021-10-21,42199,43500,41079,43188,135058,-0.0446612250315217
2021-10-22,43230,44800,41886,42291,1128972,-0.05226004526813521
2021-10-25,41438,42560,41304,41574,647802,-0.05697953999001948
2021-10-26,41574,41754,39824,40543,1438902,-0.11197021136786767
2021-10-27,40631,40720,38299,38883,1855108,-0.09687833883030617
2021-10-28,38386,39418,37984,38299,1160747,-0.11320274150226917
2021-10-29,38432,39285,37222,37761,1146181,-0.1071149890047528
2021-11-01,37850,39912,37715,39107,1016288,-0.05933997209794584
2021-11-02,39106,39510,38298,39287,589883,-0.030979453913129285
2021-11-03,39196,39241,37986,38076,653976,-0.020754571406527256
2021-11-04,38119,38792,37491,38120,557321,-0.0046737512728791675
2021-11-05,39016,40451,37715,39152,1253355,0.03683694817404204
2021-11-08,39643,40047,35383,36775,1993900,-0.059631268059426756
2021-11-09,36504,37490,36100,36191,649367,-0.07880469366457099
2021-11-10,35741,36684,35429,35698,709257,-0.06245403928984139
2021-11-11,35563,35921,34396,34802,902172,-0.08704092339979008
2021-11-12,34172,35427,34083,34891,711435,-0.10883224356354715
2021-11-15,35339,36326,34846,35520,756920,-0.03412644459551328
2021-11-16,35651,37311,35338,36909,1062551,0.01983918653808958
2021-11-17,36998,37446,35429,35788,873869,0.0025211496442376635
2021-11-18,35160,35967,34667,34936,727265,0.003850353427963915
2021-11-19,35024,37580,34530,37448,1315343,0.07328537445186445
2021-11-22,36997,37535,35876,35878,750212,0.010078828828828934
2021-11-23,35474,35966,34935,35564,712741,-0.036440976455607066
2021-11-24,35473,36055,34485,34622,750041,-0.03258075332513688
2021-11-25,34575,35293,33544,34667,802794,-0.007699793908861885
2021-11-26,34621,34666,33365,33456,783729,-0.10660115359965816
2021-11-29,32334,34128,32334,33411,734094,-0.06876080049055133
2021-11-30,33678,33723,32289,32290,893565,-0.09205938589584972
2021-12-01,32290,33231,32109,32559,627585,-0.059586390156547875
2021-12-02,32109,33185,32109,32873,617651,-0.05174950240863063
2021-12-03,32873,34307,32423,33905,767860,0.01342061214729795
2021-12-06,33859,34666,32424,32694,772730,-0.021459998204184205
2021-12-07,32693,33231,32379,32739,401494,0.013905233818519713
2021-12-08,32917,33411,32604,32649,502406,0.0027642126600939676
2021-12-09,32690,33812,32467,33635,791753,0.023180117421592206
2021-12-10,33589,33589,32827,32828,428852,-0.03176522636779233
2021-12-13,32918,32962,31618,31618,946238,-0.032911237535939275
2021-12-14,31437,31930,31347,31483,487810,-0.03836403066678884
2021-12-15,31391,31929,31212,31303,400272,-0.04122637753070535
2021-12-16,31481,31794,30898,30989,601049,-0.07866805411030175
2021-12-17,30987,31391,30315,30630,631947,-0.06695503838186911
2021-12-20,32423,32916,30628,31303,2362882,-0.00996267948636853
2021-12-21,31481,31974,30718,31393,961885,-0.0028586856398691296
2021-12-22,31391,31930,30629,30945,707763,-0.0114366035204293
2021-12-23,30406,30900,29913,30138,1015370,-0.027461357255800456
2021-12-24,30227,30585,29958,30093,619572,-0.017531831537708098
2021-12-27,30315,30360,29283,29419,1157809,-0.06018592467175665
2021-12-28,29508,30181,28566,29285,2112981,-0.0671487274233109
2021-12-29,29418,31884,29373,30989,2367574,0.0014218775246404025
2021-12-30,31707,31885,30092,31214,1101785,0.035702435463534465
2022-01-03,31258,33052,31258,32559,1120733,0.08194596750074767
2022-01-04,32736,32871,31973,32200,617775,0.09453074543662265
2022-01-05,32198,32691,31661,31976,558935,0.09189004609868534
2022-01-06,31391,32154,30674,30945,592056,-0.0014198586595243201
2022-01-07,31302,31885,30764,31393,431755,0.005734606266418973
2022-01-10,31302,33320,30583,31841,854790,-0.02205227433274981
2022-01-11,31572,32379,31392,31483,685866,-0.02226708074534156
2022-01-12,31123,32514,31123,32380,583186,0.01263447585689259
2022-01-13,32467,32735,31211,31931,730826,0.03186298271126198
2022-01-14,31481,31481,30853,31079,543015,-0.01000222979645149
2022-01-17,31033,31123,30271,30855,476696,-0.030966364121729817
2022-01-18,30495,31572,30003,30272,527719,-0.03846520344312798
2022-01-19,29597,30226,29373,29464,465910,-0.09005558987029028
2022-01-20,29597,30852,29328,30675,531722,-0.03933481569634523
2022-01-21,30047,30898,29866,30317,417162,-0.024518163390070513
2022-01-24,29957,30316,29104,29330,527289,-0.04942472856911362
2022-01-25,29328,29687,27849,27939,823456,-0.0770679175475687
2022-01-26,27400,28701,27400,27939,515390,-0.051758077654086354
2022-01-27,28071,28161,26637,26683,791835,-0.13013854930725344
2022-01-28,26681,28566,26681,28433,710301,-0.062143351914767275
2022-02-03,28835,30494,28791,29061,594823,-0.009171496760995601
2022-02-04,28790,29731,28700,29599,419616,0.05941515444360923
2022-02-07,29553,29553,28477,28523,491330,0.020902680840402255
2022-02-08,28475,28879,27713,28208,515460,0.057152494097365336
2022-02-09,28298,28836,28027,28568,331421,0.004748004079766499
2022-02-10,28567,29239,28163,28702,521435,-0.01235332576305015
2022-02-11,28433,28567,27626,27671,425482,-0.06513733572080138
2022-02-14,26951,27265,26234,26639,601531,-0.06605195806892683
2022-02-15,26637,26906,25471,25562,683351,-0.09380317640385705
2022-02-16,26280,27715,26190,27671,521808,-0.03139876785214224
2022-02-17,27624,28206,26009,27267,563439,-0.04999651592223542
2022-02-18,26549,28028,26459,27850,503256,0.006468866322142386
2022-02-21,27265,27714,26726,27446,328745,0.030293929952325493
2022-02-22,26681,27041,26234,26639,499449,0.042132853454346364
2022-02-23,26726,27265,26503,26818,333245,-0.030826497054678215
2022-02-24,26188,26547,25605,25876,653159,-0.05101404628305273
2022-02-25,26549,28252,26549,27671,883094,-0.006427289048474005
2022-02-28,27626,27938,27356,27895,697612,0.016359396633389256
2022-03-02,27534,28207,27310,27446,360520,0.030293929952325493
2022-03-03,27489,28072,27399,28074,366551,0.04683421582519198
2022-03-04,27894,28028,27310,27536,357691,0.06415211006337929
2022-03-07,27086,27131,26414,26415,466459,-0.04539048100899856
2022-03-08,25875,26907,25651,26325,577064,-0.0562824879010575
2022-03-10,27086,28027,26951,27446,725872,0.0
2022-03-11,27445,27445,26772,26998,336086,-0.03832727790838497
2022-03-14,27085,27219,25919,25921,535079,-0.05865049389889598
2022-03-15,26054,29103,25874,28029,1827828,0.06110164679159569
2022-03-16,27849,29059,27670,29016,815349,0.10222222222222221
2022-03-17,29417,30987,29014,30540,1143511,0.11273045252495817
2022-03-18,30180,30180,29014,29599,733874,0.09634046966441967
2022-03-21,29777,30673,29328,29509,517196,0.13842058562555448
2022-03-22,29373,29418,28566,29016,460069,0.03521352884512474
2022-03-23,28926,29419,28344,28613,433758,-0.01388888888888884
2022-03-24,28341,28430,27803,28118,423607,-0.07930582842174194
2022-03-25,28117,28387,27355,27401,448564,-0.07425926551572692
2022-03-28,27445,27445,26682,26774,471689,-0.09268358805788068
2022-03-29,26997,27625,26682,26998,454562,-0.06954783567686795
2022-03-30,27176,27221,26817,26998,261094,-0.056442875615978716
2022-03-31,27041,27804,27041,27491,408893,-0.022298883277615755
2022-04-01,27489,27937,27086,27536,343924,0.004926827488047847
2022-04-04,27266,27805,26907,27626,418724,0.03182191678494051
2022-04-05,27671,28163,27445,27671,313498,0.024927772427587147
2022-04-06,27533,27533,26726,26818,566396,-0.00666716053040961
2022-04-07,26458,26906,26234,26863,416933,-0.022843839802117016
2022-04-08,26951,27175,26547,26728,311347,-0.029343404997094757
2022-04-11,26683,27356,26236,26236,611544,-0.05031492072685151
2022-04-12,26099,26369,25920,26056,333384,-0.05836435257128403
2022-04-13,26234,27490,26055,27491,517304,0.0250950853904095
2022-04-14,27489,28205,27265,27401,416230,0.020027547183858907
2022-04-15,27086,27714,26681,27356,355540,0.02349595929362458
2022-04-18,27040,27580,26996,27356,260980,0.042689434364994616
2022-04-19,27399,28386,27399,28029,500655,0.07572152287381018
2022-04-20,27894,28117,27535,27536,271287,0.001636899348877785
2022-04-21,27579,27937,27220,27222,335990,-0.00653260829896718
2022-04-22,26952,27042,26235,26325,610504,-0.037688258517327045
2022-04-25,25607,27805,25607,26191,959581,-0.04258663547302233
2022-04-26,26817,27355,26369,26998,456890,-0.03678333154946667
2022-04-27,26189,27175,26143,26549,401620,-0.03584398605461936
2022-04-28,26996,26996,26548,26594,377992,-0.02306957607817206
2022-04-29,26594,27895,26459,27895,588046,0.05963912630579293
2022-05-02,27399,27803,27130,27222,360419,0.03936466725210952
2022-05-03,27264,27444,26816,26908,297304,-0.003333580265204805
2022-05-04,26907,26952,26459,26460,348103,-0.0033522919883988145
2022-05-06,26458,26996,26100,26863,423602,0.010115063548168823
2022-05-09,26952,27534,26414,26460,564887,-0.05144291091593478
2022-05-10,26009,26547,25874,25921,597192,-0.047792226875321475
2022-05-11,25920,27895,25562,27806,993459,0.03337297458005062
2022-05-12,27445,33096,27400,30317,5407774,0.14576719576719577
2022-05-13,34980,39375,31346,38120,10415574,0.4190522279715594
2022-05-16,40362,43231,38433,39735,5825328,0.5017006802721089
