date,title,user,views,recommends,unrecommends
2022-10-25 17:44:00,쉿!! HLB 교모세포종 발표 임박!!!,"
				ms******
			",444,2,4
2022-10-25 17:32:00,낼,"
				ss******
			",206,3,2
2022-10-25 17:22:00,차트가 말해주자나!,"
				jhj6****
			",212,5,6
2022-10-25 17:06:00,꽃이 피면 ,"
				asha****
			",218,3,3
2022-10-25 17:05:00,이재명 구속 임박,"
				aksw****
			",566,33,37
2022-10-25 17:13:00,김거니 구속 임박~,"
				morn****
			",169,12,11
2022-10-26 03:41:00,이재명 구속 임박,"
				im******
			",34,0,0
2022-10-25 19:42:00,이재명 구속 임박,"
				shin****
			",56,3,1
2022-10-25 17:20:00,이재명 구속 임박,"
				pr******
			",102,3,8
2022-10-25 16:58:00,탑라인 발표 기대감으로 오른거라고??,"
				seok****
			",530,11,5
2022-10-25 16:28:00,시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ,"
				dafu****
			",433,1,10
2022-10-25 16:32:00,시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ,"
				seok****
			",197,1,0
2022-10-25 16:10:00,내일 하락 99.9%,"
				seok****
			",349,5,8
2022-10-25 16:08:00,■ 이뮤노믹과  HLB테라의 교모세포암 대한 비교,"
				pmho****
			",748,11,0
2022-10-25 16:10:00,이뮤노믹과  HLB테라의 교모세포암 대한 비교,"
				jsk1****
			",174,0,2
2022-10-25 15:34:00,어차피 최고점은 넘을거라 마음은 푸근,"
				kmpk****
			",694,16,5
2022-10-25 15:32:00,내가 ,"
				msls****
			",189,0,0
2022-10-25 15:32:00,쉿!!! 내일부터 쩜상으로 달리는 이유,"
				ms******
			",473,10,8
2022-10-25 15:26:00,주당 100만 가자,"
				dh-e****
			",251,8,1
2022-10-25 15:22:00,털린 자들이여,"
				aiii****
			",567,11,13
2022-10-25 15:20:00,그만 꼬시고 끄지라,"
				jhj6****
			",140,0,0
2022-10-25 15:19:00,신주인수권,"
				sdjs****
			",1158,1,2
2022-10-25 15:13:00,이등신을,"
				anso****
			",202,1,0
2022-10-25 15:09:00,여기버리고 코오롱티슈진 오세요,"
				kjh2****
			",254,3,2
2022-10-25 15:03:00,그냥 보합이라고 말해!,"
				jhj6****
			",201,1,1
2022-10-25 15:06:00,그냥 보합이라고 말해!,"
				gong****
			",109,0,0
2022-10-25 14:46:00,드뎌 나와따,"
				is******
			",225,0,0
2022-10-25 14:27:00,과거 주가 큰 하락의 요인은,"
				byth****
			",234,4,2
2022-10-25 14:27:00,●아무리 임상결과 좋아도!!!! 주가 안간다●,"
				eros****
			",269,3,1
2022-10-25 14:24:00,스타일 좀 바꿔라!,"
				jhj6****
			",116,2,0
2022-10-25 14:21:00,줍줍  !,"
				kore****
			",121,2,1
2022-10-25 14:19:00,cca0 까요. Khan 깐돌이. Jsto 조또,"
				kmpk****
			",122,1,2
2022-10-25 14:15:00,허걱~~멜치 들어 왔네.. 며칠후 나락이다,"
				jsk1****
			",102,0,0
2022-10-25 14:14:00,떨어지는거 보이,"
				lyuj****
			",121,1,1
2022-10-25 13:59:00,고점에 큰 음봉 박아놨고,"
				byth****
			",145,1,0
2022-10-25 13:56:00,신주인수권 언제들어오나요?,"
				hj******
			",507,0,0
2022-10-25 13:55:00,이거,"
				subp****
			",104,0,0
2022-10-25 13:53:00,근데 ?,"
				daeb****
			",90,0,0
2022-10-25 13:49:00,니가 노터스꼬봉이냐?,"
				2jin****
			",79,0,0
2022-10-25 13:48:00,개잡주는 인정한다,"
				bo******
			",84,0,1
2022-10-25 13:44:00,오늘 결과,"
				lyuj****
			",126,0,0
2022-10-25 13:25:00,박셀하고,"
				cane****
			",128,0,0
2022-10-25 13:14:00,개잡주,"
				soju****
			",102,2,1
2022-10-25 13:13:00,잔챙이 ~~,"
				jhj6****
			",89,2,1
2022-10-25 13:12:00,개잡주,"
				sy66****
			",68,0,1
2022-10-25 13:10:00,도움 안되는곳은 인수좀 하지마라!,"
				naga****
			",92,1,0
2022-10-25 13:10:00,유증 30700,"
				byth****
			",149,1,0
2022-10-25 13:05:00,대주단타 9만원 ㄱㅅㄱㅅ,"
				demo****
			",100,0,0
2022-10-25 13:01:00,뭐하냐~,"
				meri****
			",86,0,0
2022-10-25 13:01:00,조마조마하네요,"
				lyuj****
			",123,1,0
2022-10-25 13:01:00,곧 10월끝나가는데,"
				zooe****
			",101,1,1
2022-10-25 12:58:00,빨리 신주인수권 팔고싶다,"
				zooe****
			",434,1,1
2022-10-25 12:57:00,2시에  공시나옵니다,"
				1212****
			",167,0,3
2022-10-25 12:55:00,이뮤노믹 탑라인 차라리 늦게 발표하는게 유리할지도...,"
				goni****
			",213,0,0
2022-10-25 12:54:00,탑라인 안 나왔냐? ㅋ,"
				han1****
			",95,0,0
2022-10-25 12:52:00,동그라미,"
				yunh****
			",79,0,0
2022-10-25 12:48:00,11월 코스닥 폭락설,"
				chou****
			",138,1,1
2022-10-25 12:41:00,에이치엘비86R,"
				jung****
			",559,1,2
